gameID,genre
68019,NA
92321,NA
72929,NA
20553,Strategy
123453,Simulator
64983,Simulator
64983,Turn-based strategy (TBS)
70575,Role-playing (RPG)
38450,Fighting
209984,NA
94147,Role-playing (RPG)
125421,NA
80521,Puzzle
140757,Visual Novel
69180,Adventure
1933,Puzzle
1933,Adventure
20325,Simulator
42700,Music
92135,NA
876,Role-playing (RPG)
876,Strategy
203136,NA
51024,Music
117265,Adventure
117265,Visual Novel
43952,Shooter
93614,NA
61521,Visual Novel
72653,Fighting
129853,Strategy
129853,Arcade
136474,Visual Novel
176028,Sport
146006,Hack and slash/Beat 'em up
6489,Racing
3445,Strategy
3445,Arcade
50604,NA
63487,NA
59424,Adventure
59424,Visual Novel
43739,Puzzle
140996,Puzzle
23482,Adventure
8083,Platform
150997,Adventure
150997,Indie
70660,Visual Novel
203020,Visual Novel
65547,Adventure
91467,Adventure
91467,Indie
122506,Arcade
46020,Turn-based strategy (TBS)
68395,Visual Novel
130397,Strategy
130397,Adventure
130397,Visual Novel
22801,Shooter
4080,Racing
4080,Sport
218922,NA
51254,Simulator
8920,Real Time Strategy (RTS)
8920,Strategy
8920,Quiz/Trivia
8920,Indie
130495,Simulator
58572,Adventure
47889,NA
12407,Strategy
12407,Tactical
79928,Point-and-click
79928,Visual Novel
135167,Shooter
202954,Visual Novel
220171,NA
11896,Platform
11896,Arcade
23671,Shooter
23671,Simulator
23671,Adventure
141779,Shooter
62738,NA
1903,Real Time Strategy (RTS)
1903,Role-playing (RPG)
1903,Strategy
1903,Tactical
68243,Adventure
68243,Visual Novel
42698,Adventure
42698,Visual Novel
12770,Shooter
12770,Real Time Strategy (RTS)
12770,Strategy
12770,Tactical
59328,Strategy
52000,Arcade
61944,Visual Novel
123334,NA
729,Racing
729,Simulator
729,Sport
208346,NA
23121,Simulator
208345,NA
49332,NA
5480,Adventure
4800,Strategy
4800,Quiz/Trivia
41059,Platform
5196,Sport
4258,Adventure
49359,Puzzle
83898,Arcade
105066,Role-playing (RPG)
69288,Visual Novel
76209,Hack and slash/Beat 'em up
76209,Arcade
98672,Visual Novel
3879,Adventure
218642,Visual Novel
72556,Adventure
72556,Visual Novel
53454,Simulator
53454,Strategy
106272,Platform
146004,Hack and slash/Beat 'em up
4003,Shooter
4003,Adventure
4187,Puzzle
4187,Strategy
64801,Adventure
19967,Hack and slash/Beat 'em up
220081,Quiz/Trivia
21839,NA
221225,Visual Novel
3870,Shooter
3870,Role-playing (RPG)
3870,Adventure
50644,Racing
50644,Simulator
50644,Strategy
50644,Adventure
10928,Strategy
23579,Strategy
23579,Turn-based strategy (TBS)
23579,Indie
23579,Card & Board Game
19747,Hack and slash/Beat 'em up
6625,Role-playing (RPG)
6625,Simulator
6625,Strategy
6625,Tactical
21590,Role-playing (RPG)
