kglID,gameID,Title,Year,Publisher,Main_Genre
1,2181,Wii Sports,2006,Nintendo,Sports
2,206934,Super Mario Bros.,1985,Nintendo,Platform
3,191437,Mario Kart Wii,2008,Nintendo,Racing
4,2182,Wii Sports Resort,2009,Nintendo,Sports
5,NA,Pokemon Red/Pokemon Blue,1996,Nintendo,Role-Playing
6,131503,Tetris,1989,Nintendo,Puzzle
7,1076,New Super Mario Bros.,2006,Nintendo,Platform
8,2185,Wii Play,2006,Nintendo,Misc
9,191436,New Super Mario Bros. Wii,2009,Nintendo,Platform
10,127559,Duck Hunt,1984,Nintendo,Shooter
11,NA,Nintendogs,2005,Nintendo,Simulation
12,2345,Mario Kart DS,2005,Nintendo,Racing
13,NA,Pokemon Gold/Pokemon Silver,1999,Nintendo,Role-Playing
14,2186,Wii Fit,2007,Nintendo,Sports
15,2187,Wii Fit Plus,2009,Nintendo,Sports
16,NA,Kinect Adventures!,2010,Microsoft Game Studios,Misc
17,1020,Grand Theft Auto V,2013,Take-Two Interactive,Action
18,732,Grand Theft Auto: San Andreas,2004,Take-Two Interactive,Action
19,1070,Super Mario World,1990,Nintendo,Platform
20,NA,Brain Age: Train Your Brain in Minutes a Day,2005,Nintendo,Misc
21,NA,Pokemon Diamond/Pokemon Pearl,2006,Nintendo,Role-Playing
22,1069,Super Mario Land,1989,Nintendo,Platform
23,158723,Super Mario Bros. 3,1988,Nintendo,Platform
24,215550,Grand Theft Auto: Vice City,2002,Take-Two Interactive,Action
25,NA,Pokemon Ruby/Pokemon Sapphire,2002,Nintendo,Role-Playing
26,NA,Pokemon Black/Pokemon White,2010,Nintendo,Role-Playing
27,NA,Brain Age 2: More Training in Minutes a Day,2005,Nintendo,Puzzle
28,1600,Gran Turismo 3: A-Spec,2001,Sony Computer Entertainment,Racing
29,979,Call of Duty: Modern Warfare 3,2011,Activision,Shooter
30,NA,Pokemon Yellow: Special Pikachu Edition,1998,Nintendo,Role-Playing
31,545,Call of Duty: Black Ops,2010,Activision,Shooter
32,NA,Pokemon X/Pokemon Y,2013,Nintendo,Role-Playing
33,NA,Call of Duty: Black Ops 3,2015,Activision,Shooter
34,21865,Call of Duty: Black Ops II,2012,Activision,Shooter
35,559,Call of Duty: Modern Warfare 2,2009,Activision,Shooter
36,730,Grand Theft Auto III,2001,Take-Two Interactive,Action
37,1628,Super Smash Bros. Brawl,2008,Nintendo,Fighting
38,2645,Animal Crossing: Wild World,2005,Nintendo,Simulation
39,2349,Mario Kart 7,2011,Nintendo,Racing
40,987,Halo 3,2007,Microsoft Game Studios,Shooter
41,1020,Grand Theft Auto V,2014,Take-Two Interactive,Action
42,NA,Pokemon HeartGold/Pokemon SoulSilver,2009,Nintendo,Action
43,1074,Super Mario 64,1996,Nintendo,Platform
44,1601,Gran Turismo 4,2004,Sony Computer Entertainment,Racing
45,191434,Super Mario Galaxy,2007,Nintendo,Platform
46,NA,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Nintendo,Role-Playing
47,1071,Super Mario Land 2: 6 Golden Coins,1992,Nintendo,Adventure
48,731,Grand Theft Auto IV,2008,Take-Two Interactive,Action
49,1594,Gran Turismo,1997,Sony Computer Entertainment,Racing
50,1079,Super Mario 3D Land,2011,Nintendo,Platform
51,1602,Gran Turismo 5,2010,Sony Computer Entertainment,Racing
52,5199,Super Mario All-Stars,1993,Nintendo,Platform
53,NA,Pokemon FireRed/Pokemon LeafGreen,2004,Nintendo,Role-Playing
54,1074,Super Mario 64,2004,Nintendo,Platform
55,2705,Just Dance 3,2011,Ubisoft,Misc
56,2033,Call of Duty: Ghosts,2013,Activision,Shooter
57,990,Halo: Reach,2010,Microsoft Game Studios,Shooter
58,2342,Mario Kart 64,1996,Nintendo,Racing
59,1080,New Super Mario Bros. 2,2012,Nintendo,Platform
60,991,Halo 4,2012,Microsoft Game Studios,Shooter
61,207021,Final Fantasy VII,1997,Sony Computer Entertainment,Role-Playing
62,2664,Just Dance 2,2010,Ubisoft,Misc
63,1597,Gran Turismo 2,1999,Sony Computer Entertainment,Racing
64,135294,Call of Duty 4: Modern Warfare,2007,Activision,Shooter
65,152752,Donkey Kong Country,1994,Nintendo,Platform
66,121,Minecraft,2013,Microsoft Game Studios,Misc
67,2687,Animal Crossing: New Leaf,2012,Nintendo,Simulation
68,2335,Mario Party DS,2007,Nintendo,Misc
69,472,The Elder Scrolls V: Skyrim,2011,Bethesda Softworks,Role-Playing
70,2332,Super Mario Kart,1992,Nintendo,Racing
71,11071,FIFA 16,2015,Electronic Arts,Sports
72,2189,Wii Party,2010,Nintendo,Misc
73,986,Halo 2,2004,Microsoft Game Studios,Shooter
74,2193,Mario Party 8,2007,Nintendo,Misc
75,NA,Pokemon Black 2/Pokemon White 2,2012,Nintendo,Role-Playing
76,NA,FIFA Soccer 13,2012,Electronic Arts,Sports
77,141634,The Sims 3,2009,Electronic Arts,Simulation
78,1647,GoldenEye 007,1997,Nintendo,Shooter
79,132108,Mario & Sonic at the Olympic Games,2007,Sega,Sports
80,418,Final Fantasy X,2001,Sony Computer Entertainment,Role-Playing
81,203538,Final Fantasy VIII,1999,SquareSoft,Role-Playing
82,NA,Pokemon Platinum Version,2008,Nintendo,Role-Playing
83,213899,Pac-Man,1982,Atari,Puzzle
84,3263,Grand Theft Auto: Liberty City Stories,2005,Take-Two Interactive,Action
85,1078,Super Mario Galaxy 2,2010,Nintendo,Platform
86,2113,Star Wars Battlefront,2015,Electronic Arts,Shooter
87,6632,Call of Duty: Advanced Warfare,2014,Activision,Shooter
88,1029,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action
89,135450,Crash Bandicoot 2: Cortex Strikes Back,1997,Sony Computer Entertainment,Platform
90,163155,Super Mario Bros. 2,1988,Nintendo,Platform
91,NA,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,Fighting
92,135297,Call of Duty: World at War,2008,Activision,Shooter
93,343,Battlefield 3,2011,Electronic Arts,Shooter
94,191440,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action
95,2704,Just Dance,2009,Ubisoft,Misc
96,NA,Need for Speed Underground,2003,Electronic Arts,Racing
97,1244,Tekken 3,1998,Sony Computer Entertainment,Fighting
98,NA,Crash Bandicoot 3: Warped,1998,Sony Computer Entertainment,Platform
99,1627,Super Smash Bros. Melee,2001,Nintendo,Fighting
100,2350,Mario Kart 8,2014,Nintendo,Racing
101,9630,Fallout 4,2015,Bethesda Softworks,Role-Playing
102,2344,Mario Kart: Double Dash!!,2003,Nintendo,Racing
103,3255,Just Dance 4,2012,Ubisoft,Misc
104,2920,FIFA 14,2013,Electronic Arts,Sports
105,NA,Need for Speed Underground 2,2004,Electronic Arts,Racing
106,1309,Medal of Honor: Frontline,2002,Electronic Arts,Shooter
107,512,Uncharted 3: Drake's Deception,2011,Sony Computer Entertainment,Action
108,148195,Crash Bandicoot,1996,Sony Computer Entertainment,Platform
109,3705,Zumba Fitness,2010,505 Games,Sports
110,548,Gears of War 2,2008,Microsoft Game Studios,Shooter
111,565,Uncharted 2: Among Thieves,2009,Sony Computer Entertainment,Action
112,NA,FIFA 12,2011,Electronic Arts,Sports
113,2744,Big Brain Academy,2005,Nintendo,Misc
114,434,Red Dead Redemption,2010,Take-Two Interactive,Action
115,7574,FIFA 15,2014,Electronic Arts,Sports
116,1100,Donkey Kong Country Returns,2010,Nintendo,Platform
117,1022,The Legend of Zelda,1986,Nintendo,Action
118,1266,Assassin's Creed III,2012,Ubisoft,Action
119,740,Halo: Combat Evolved,2001,Microsoft Game Studios,Shooter
120,NA,Pokemon Emerald Version,2004,Nintendo,Role-Playing
121,1219,Kingdom Hearts,2002,Sony Computer Entertainment,Role-Playing
122,NA,Pokemon Crystal Version,2000,Nintendo,Role-Playing
123,989,Halo 3: ODST,2009,Microsoft Game Studios,Shooter
124,1075,Super Mario Sunshine,2002,Nintendo,Platform
125,39306,Street Fighter II: The World Warrior,1992,Capcom,Fighting
126,123,World of Warcraft,2004,Activision,Role-Playing
127,675,Driver,1999,GT Interactive,Action
128,17478,Kinect Sports,2010,Microsoft Game Studios,Sports
129,492,Gears of War 3,2011,Microsoft Game Studios,Shooter
130,547,Gears of War,2006,Microsoft Game Studios,Shooter
131,376,Metal Gear Solid 2: Sons of Liberty,2001,Konami Digital Entertainment,Action
132,112884,Sonic the Hedgehog 2,1992,Sega,Platform
133,380,Metal Gear Solid 4: Guns of the Patriots,2008,Konami Digital Entertainment,Action
134,375,Metal Gear Solid,1998,Konami Digital Entertainment,Action
135,1009,The Last of Us,2013,Sony Computer Entertainment Europe,Action
136,398,Final Fantasy XII,2006,Square Enix,Role-Playing
137,21911,LittleBigPlanet,2008,Sony Computer Entertainment,Platform
138,1820,Dragon Quest IX: Sentinels of the Starry Skies,2009,Nintendo,Role-Playing
139,194935,LEGO Star Wars: The Complete Saga,2007,LucasArts,Action
140,186400,Resident Evil 2,1998,Virgin Interactive,Action
141,215952,Tekken 2,1996,Sony Computer Entertainment,Fighting
142,3060,Cooking Mama,2006,505 Games,Simulation
143,181550,Destiny,2014,Activision,Shooter
144,131503,Tetris,1988,Nintendo,Puzzle
145,221822,Assassin's Creed II,2009,Ubisoft,Action
146,1626,Super Smash Bros.,1999,Nintendo,Fighting
147,128,Assassin's Creed,2007,Ubisoft,Adventure
148,501,Batman: Arkham City,2011,Warner Bros. Interactive Entertainment,Action
149,3069,Forza Motorsport 3,2009,Microsoft Game Studios,Racing
150,20427,Monster Hunter Freedom Unite,2008,Capcom,Role-Playing
151,81197,Super Mario Advance,2001,Nintendo,Platform
152,2343,Mario Kart: Super Circuit,2001,Nintendo,Racing
153,1070,Super Mario World,2001,Nintendo,Platform
154,163098,Pokemon Stadium,1999,Nintendo,Strategy
155,1188,Crash Bandicoot: The Wrath of Cortex,2001,Universal Interactive,Platform
156,121,Minecraft,2014,Sony Computer Entertainment,Misc
157,389,Final Fantasy XIII,2009,Square Enix,Role-Playing
158,178112,Dr. Mario,1989,Nintendo,Puzzle
159,NA,Pokemon Pinball,1999,Nintendo,Misc
160,205673,Final Fantasy IX,2000,SquareSoft,Role-Playing
161,413,Final Fantasy X-2,2003,Electronic Arts,Role-Playing
162,1096,Donkey Kong 64,1999,Nintendo,Platform
163,1397,Professor Layton and the Curious Village,2007,Nintendo,Puzzle
164,1156,Tomb Raider II,1997,Eidos Interactive,Action
165,777,Madden NFL 2004,2004,Electronic Arts,Sports
166,1819,Dragon Quest VIII: Journey of the Cursed King,2004,Square Enix,Role-Playing
167,120,Diablo III,2012,Activision,Role-Playing
168,158723,Super Mario Bros. 3,2003,Nintendo,Platform
169,2171,New Super Mario Bros. U,2012,Nintendo,Platform
170,NA,Super Mario Land 3: Wario Land,1994,Nintendo,Platform
171,1037,The Legend of Zelda: Phantom Hourglass,2007,Nintendo,Action
172,1092,Donkey Kong Country 2: Diddy's Kong Quest,1995,Nintendo,Platform
173,6403,Tomodachi Life,2013,Nintendo,Simulation
174,132108,Mario & Sonic at the Olympic Games,2008,Sega,Sports
175,1316,Medal of Honor: Rising Sun,2003,Electronic Arts,Shooter
176,1063,Kirby's Dream Land,1992,Nintendo,Platform
177,504,Fable III,2010,Microsoft Game Studios,Role-Playing
178,119295,Microsoft Flight Simulator,1996,Microsoft Game Studios,Simulation
179,2670,Guitar Hero II,2006,RedOctane,Misc
180,847,Resident Evil 5,2009,Capcom,Action
181,3262,Grand Theft Auto: Vice City Stories,2006,Take-Two Interactive,Action
182,503,FIFA Soccer 11,2010,Electronic Arts,Sports
183,206934,Super Mario Bros.,1999,Nintendo,Platform
184,102722,Resident Evil,1996,Virgin Interactive,Action
185,210452,Tony Hawk's Pro Skater,1999,Activision,Sports
186,51297,Warzone 2100,1999,Eidos Interactive,Strategy
187,1576,Spyro the Dragon,1998,Sony Computer Entertainment,Platform
188,4973,Link's Crossbow Training,2007,Nintendo,Shooter
189,2671,Guitar Hero III: Legends of Rock,2007,Activision,Misc
190,15,Fallout 3,2008,Bethesda Softworks,Role-Playing
191,NA,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Nintendo,Role-Playing
192,431,Uncharted: Drake's Fortune,2007,Sony Computer Entertainment,Action
193,5906,Madden NFL 06,2005,Electronic Arts,Sports
194,2723,Diddy Kong Racing,1997,Nintendo,Racing
195,NA,Monster Hunter Freedom 3,2010,Capcom,Role-Playing
196,178112,Dr. Mario,1990,Nintendo,Puzzle
197,499,God of War III,2010,Sony Computer Entertainment,Action
198,239,StarCraft II: Wings of Liberty,2010,Activision,Strategy
199,1192,Crash Team Racing,1999,Sony Computer Entertainment,Racing
200,19459,FIFA 17,2016,Electronic Arts,Sports
201,NA,Driver 2,2000,Atari,Action
202,2844,The Simpsons: Hit & Run,2003,Vivendi Games,Racing
203,201756,Tony Hawk's Pro Skater 2,2000,Activision,Sports
204,2688,Animal Crossing: City Folk,2008,Nintendo,Simulation
205,135736,The Lord of the Rings: The Two Towers,2002,Electronic Arts,Action
206,3068,Forza Motorsport 4,2011,Microsoft Game Studios,Racing
207,165181,Tomb Raider,1996,Eidos Interactive,Action
208,1026,The Legend of Zelda: A Link to the Past,1991,Nintendo,Action
209,1033,The Legend of Zelda: The Wind Waker,2002,Nintendo,Action
210,132109,Mario & Sonic at the Olympic Winter Games,2009,Sega,Sports
211,2476,Luigi's Mansion: Dark Moon,2013,Nintendo,Action
212,7335,Splatoon,2015,Nintendo,Shooter
213,1009,The Last of Us,2014,Sony Computer Entertainment,Action
214,778,Madden NFL 2005,2004,Electronic Arts,Sports
215,19908,Pitfall!,1981,Activision,Platform
216,4983,Madden NFL 07,2006,Electronic Arts,Sports
217,NA,Spider-Man: The Movie,2002,Activision,Action
218,NA,Dragon Quest VII: Warriors of Eden,2000,Enix Corporation,Role-Playing
219,10962,Uncharted: The Nathan Drake Collection,2015,Sony Computer Entertainment,Action
220,19560,God of War,2005,Sony Computer Entertainment,Action
221,2172,Nintendo Land,2012,Nintendo,Misc
222,5006,Michael Jackson: The Experience,2010,Ubisoft,Misc
