kglID,Rank,Platform,Region,Sales
1,1,Wii,NA,41.49
1,1,Wii,EU,29.02
1,1,Wii,JP,3.77
1,1,Wii,Other,8.46
1,1,Wii,Global,82.74
2,2,NES,NA,29.08
2,2,NES,EU,3.58
2,2,NES,JP,6.81
2,2,NES,Other,0.77
2,2,NES,Global,40.24
3,3,Wii,NA,15.85
3,3,Wii,EU,12.88
3,3,Wii,JP,3.79
3,3,Wii,Other,3.31
3,3,Wii,Global,35.82
4,4,Wii,NA,15.75
4,4,Wii,EU,11.01
4,4,Wii,JP,3.28
4,4,Wii,Other,2.96
4,4,Wii,Global,33
5,5,GB,NA,11.27
5,5,GB,EU,8.89
5,5,GB,JP,10.22
5,5,GB,Other,1
5,5,GB,Global,31.37
6,6,GB,NA,23.2
6,6,GB,EU,2.26
6,6,GB,JP,4.22
6,6,GB,Other,0.58
6,6,GB,Global,30.26
7,7,DS,NA,11.38
7,7,DS,EU,9.23
7,7,DS,JP,6.5
7,7,DS,Other,2.9
7,7,DS,Global,30.01
8,8,Wii,NA,14.03
8,8,Wii,EU,9.2
8,8,Wii,JP,2.93
8,8,Wii,Other,2.85
8,8,Wii,Global,29.02
9,9,Wii,NA,14.59
9,9,Wii,EU,7.06
9,9,Wii,JP,4.7
9,9,Wii,Other,2.26
9,9,Wii,Global,28.62
10,10,NES,NA,26.93
10,10,NES,EU,0.63
10,10,NES,JP,0.28
10,10,NES,Other,0.47
10,10,NES,Global,28.31
11,11,DS,NA,9.07
11,11,DS,EU,11
11,11,DS,JP,1.93
11,11,DS,Other,2.75
11,11,DS,Global,24.76
12,12,DS,NA,9.81
12,12,DS,EU,7.57
12,12,DS,JP,4.13
12,12,DS,Other,1.92
12,12,DS,Global,23.42
13,13,GB,NA,9
13,13,GB,EU,6.18
13,13,GB,JP,7.2
13,13,GB,Other,0.71
13,13,GB,Global,23.1
14,14,Wii,NA,8.94
14,14,Wii,EU,8.03
14,14,Wii,JP,3.6
14,14,Wii,Other,2.15
14,14,Wii,Global,22.72
15,15,Wii,NA,9.09
15,15,Wii,EU,8.59
15,15,Wii,JP,2.53
15,15,Wii,Other,1.79
15,15,Wii,Global,22
16,16,X360,NA,14.97
16,16,X360,EU,4.94
16,16,X360,JP,0.24
16,16,X360,Other,1.67
16,16,X360,Global,21.82
17,17,PS3,NA,7.01
17,17,PS3,EU,9.27
17,17,PS3,JP,0.97
17,17,PS3,Other,4.14
17,17,PS3,Global,21.4
18,18,PS2,NA,9.43
18,18,PS2,EU,0.4
18,18,PS2,JP,0.41
18,18,PS2,Other,10.57
18,18,PS2,Global,20.81
19,19,SNES,NA,12.78
19,19,SNES,EU,3.75
19,19,SNES,JP,3.54
19,19,SNES,Other,0.55
19,19,SNES,Global,20.61
20,20,DS,NA,4.75
20,20,DS,EU,9.26
20,20,DS,JP,4.16
20,20,DS,Other,2.05
20,20,DS,Global,20.22
21,21,DS,NA,6.42
21,21,DS,EU,4.52
21,21,DS,JP,6.04
21,21,DS,Other,1.37
21,21,DS,Global,18.36
22,22,GB,NA,10.83
22,22,GB,EU,2.71
22,22,GB,JP,4.18
22,22,GB,Other,0.42
22,22,GB,Global,18.14
23,23,NES,NA,9.54
23,23,NES,EU,3.44
23,23,NES,JP,3.84
23,23,NES,Other,0.46
23,23,NES,Global,17.28
17,24,X360,NA,9.63
17,24,X360,EU,5.31
17,24,X360,JP,0.06
17,24,X360,Other,1.38
17,24,X360,Global,16.38
24,25,PS2,NA,8.41
24,25,PS2,EU,5.49
24,25,PS2,JP,0.47
24,25,PS2,Other,1.78
24,25,PS2,Global,16.15
25,26,GBA,NA,6.06
25,26,GBA,EU,3.9
25,26,GBA,JP,5.38
25,26,GBA,Other,0.5
25,26,GBA,Global,15.85
26,27,DS,NA,5.57
26,27,DS,EU,3.28
26,27,DS,JP,5.65
26,27,DS,Other,0.82
26,27,DS,Global,15.32
27,28,DS,NA,3.44
27,28,DS,EU,5.36
27,28,DS,JP,5.32
27,28,DS,Other,1.18
27,28,DS,Global,15.3
28,29,PS2,NA,6.85
28,29,PS2,EU,5.09
28,29,PS2,JP,1.87
28,29,PS2,Other,1.16
28,29,PS2,Global,14.98
29,30,X360,NA,9.03
29,30,X360,EU,4.28
29,30,X360,JP,0.13
29,30,X360,Other,1.32
29,30,X360,Global,14.76
30,31,GB,NA,5.89
30,31,GB,EU,5.04
30,31,GB,JP,3.12
30,31,GB,Other,0.59
30,31,GB,Global,14.64
31,32,X360,NA,9.67
31,32,X360,EU,3.73
31,32,X360,JP,0.11
