Platform,Platform_Full,Manufacterer
2600,Atari 2600,Atari
SAT,Saturn,SEGA
3DO,3DO Interactive Multiplayer,The 3DO Company
3DS,Nintendo 3DS,Nintendo
DC,dream cast,SEGA
DS,Nintendo DS,Nintendo
GB,game boy,Nintendo
GBA,game boy advance,Nintendo
GC,game cube,Nintendo
GEN,genesis,SEGA
GG,game gear,SEGA
N64,Nintendo 64,Nintendo
NES,Nintendo Entertainment System,Nintendo
NG,N-Gage,Nokia
PC,Personal Computer,Computer
PCFX,PC-FX,NEC
PS,Playstation,SONY
PS2,Playstation 2,SONY
PS3,Playstation 3,SONY
PS4,Playstation 4,SONY
PSP,Playstation Portable,SONY
PSV,Playstation Vita,SONY
SCD,SEGA CD,SEGA
SNES,Super Nintendo Entertainment System,Nintendo
TG16,TurboGrafx-16,NEC
Wii,Nintendo Wii,Nintendo
WiiU,Nintendo WiiU,Nintendo
WS,WonderSwan,Bandai
X360,Xbox 360,Microsoft
XB,Xbox,Microsoft
XOne,Xbox One,Microsoft
