kglID,Title,Year,Publisher,Genre
1,Wii Sports,2006,Nintendo,Sports
2,Super Mario Bros.,1985,Nintendo,Platform
3,Mario Kart Wii,2008,Nintendo,Racing
4,Wii Sports Resort,2009,Nintendo,Sports
5,Pokemon Red/Pokemon Blue,1996,Nintendo,Role-Playing
6,Tetris,1989,Nintendo,Puzzle
7,New Super Mario Bros.,2006,Nintendo,Platform
8,Wii Play,2006,Nintendo,Misc
9,New Super Mario Bros. Wii,2009,Nintendo,Platform
10,Duck Hunt,1984,Nintendo,Shooter
11,Nintendogs,2005,Nintendo,Simulation
12,Mario Kart DS,2005,Nintendo,Racing
13,Pokemon Gold/Pokemon Silver,1999,Nintendo,Role-Playing
14,Wii Fit,2007,Nintendo,Sports
15,Wii Fit Plus,2009,Nintendo,Sports
16,Kinect Adventures!,2010,Microsoft Game Studios,Misc
17,Grand Theft Auto V,2013,Take-Two Interactive,Action
18,Grand Theft Auto: San Andreas,2004,Take-Two Interactive,Action
19,Super Mario World,1990,Nintendo,Platform
20,Brain Age: Train Your Brain in Minutes a Day,2005,Nintendo,Misc
21,Pokemon Diamond/Pokemon Pearl,2006,Nintendo,Role-Playing
22,Super Mario Land,1989,Nintendo,Platform
23,Super Mario Bros. 3,1988,Nintendo,Platform
24,Grand Theft Auto: Vice City,2002,Take-Two Interactive,Action
25,Pokemon Ruby/Pokemon Sapphire,2002,Nintendo,Role-Playing
26,Pokemon Black/Pokemon White,2010,Nintendo,Role-Playing
27,Brain Age 2: More Training in Minutes a Day,2005,Nintendo,Puzzle
28,Gran Turismo 3: A-Spec,2001,Sony Computer Entertainment,Racing
29,Call of Duty: Modern Warfare 3,2011,Activision,Shooter
30,Pokemon Yellow: Special Pikachu Edition,1998,Nintendo,Role-Playing
31,Call of Duty: Black Ops,2010,Activision,Shooter
32,Pokemon X/Pokemon Y,2013,Nintendo,Role-Playing
33,Call of Duty: Black Ops 3,2015,Activision,Shooter
34,Call of Duty: Black Ops II,2012,Activision,Shooter
35,Call of Duty: Modern Warfare 2,2009,Activision,Shooter
36,Grand Theft Auto III,2001,Take-Two Interactive,Action
37,Super Smash Bros. Brawl,2008,Nintendo,Fighting
38,Animal Crossing: Wild World,2005,Nintendo,Simulation
39,Mario Kart 7,2011,Nintendo,Racing
40,Halo 3,2007,Microsoft Game Studios,Shooter
41,Grand Theft Auto V,2014,Take-Two Interactive,Action
42,Pokemon HeartGold/Pokemon SoulSilver,2009,Nintendo,Action
43,Super Mario 64,1996,Nintendo,Platform
44,Gran Turismo 4,2004,Sony Computer Entertainment,Racing
45,Super Mario Galaxy,2007,Nintendo,Platform
46,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Nintendo,Role-Playing
47,Super Mario Land 2: 6 Golden Coins,1992,Nintendo,Adventure
48,Grand Theft Auto IV,2008,Take-Two Interactive,Action
49,Gran Turismo,1997,Sony Computer Entertainment,Racing
50,Super Mario 3D Land,2011,Nintendo,Platform
51,Gran Turismo 5,2010,Sony Computer Entertainment,Racing
52,Super Mario All-Stars,1993,Nintendo,Platform
53,Pokemon FireRed/Pokemon LeafGreen,2004,Nintendo,Role-Playing
54,Super Mario 64,2004,Nintendo,Platform
55,Just Dance 3,2011,Ubisoft,Misc
56,Call of Duty: Ghosts,2013,Activision,Shooter
57,Halo: Reach,2010,Microsoft Game Studios,Shooter
58,Mario Kart 64,1996,Nintendo,Racing
59,New Super Mario Bros. 2,2012,Nintendo,Platform
60,Halo 4,2012,Microsoft Game Studios,Shooter
61,Final Fantasy VII,1997,Sony Computer Entertainment,Role-Playing
62,Just Dance 2,2010,Ubisoft,Misc
63,Gran Turismo 2,1999,Sony Computer Entertainment,Racing
64,Call of Duty 4: Modern Warfare,2007,Activision,Shooter
65,Donkey Kong Country,1994,Nintendo,Platform
66,Minecraft,2013,Microsoft Game Studios,Misc
67,Animal Crossing: New Leaf,2012,Nintendo,Simulation
68,Mario Party DS,2007,Nintendo,Misc
69,The Elder Scrolls V: Skyrim,2011,Bethesda Softworks,Role-Playing
70,Super Mario Kart,1992,Nintendo,Racing
71,FIFA 16,2015,Electronic Arts,Sports
72,Wii Party,2010,Nintendo,Misc
73,Halo 2,2004,Microsoft Game Studios,Shooter
74,Mario Party 8,2007,Nintendo,Misc
75,Pokemon Black 2/Pokemon White 2,2012,Nintendo,Role-Playing
76,FIFA Soccer 13,2012,Electronic Arts,Sports
77,The Sims 3,2009,Electronic Arts,Simulation
78,GoldenEye 007,1997,Nintendo,Shooter
79,Mario & Sonic at the Olympic Games,2007,Sega,Sports
80,Final Fantasy X,2001,Sony Computer Entertainment,Role-Playing
81,Final Fantasy VIII,1999,SquareSoft,Role-Playing
82,Pokemon Platinum Version,2008,Nintendo,Role-Playing
83,Pac-Man,1982,Atari,Puzzle
84,Grand Theft Auto: Liberty City Stories,2005,Take-Two Interactive,Action
85,Super Mario Galaxy 2,2010,Nintendo,Platform
86,Star Wars Battlefront ,2015,Electronic Arts,Shooter
87,Call of Duty: Advanced Warfare,2014,Activision,Shooter
88,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action
89,Crash Bandicoot 2: Cortex Strikes Back,1997,Sony Computer Entertainment,Platform
90,Super Mario Bros. 2,1988,Nintendo,Platform
91,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,Fighting
92,Call of Duty: World at War,2008,Activision,Shooter
93,Battlefield 3,2011,Electronic Arts,Shooter
94,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action
95,Just Dance,2009,Ubisoft,Misc
96,Need for Speed Underground,2003,Electronic Arts,Racing
97,Tekken 3,1998,Sony Computer Entertainment,Fighting
98,Crash Bandicoot 3: Warped,1998,Sony Computer Entertainment,Platform
99,Super Smash Bros. Melee,2001,Nintendo,Fighting
100,Mario Kart 8,2014,Nintendo,Racing
101,Fallout 4,2015,Bethesda Softworks,Role-Playing
102,Mario Kart: Double Dash!!,2003,Nintendo,Racing
103,Just Dance 4,2012,Ubisoft,Misc
104,FIFA 14,2013,Electronic Arts,Sports
105,Need for Speed Underground 2,2004,Electronic Arts,Racing
106,Medal of Honor: Frontline,2002,Electronic Arts,Shooter
107,Uncharted 3: Drake's Deception,2011,Sony Computer Entertainment,Action
108,Crash Bandicoot,1996,Sony Computer Entertainment,Platform
109,Zumba Fitness,2010,505 Games,Sports
110,Gears of War 2,2008,Microsoft Game Studios,Shooter
111,Uncharted 2: Among Thieves,2009,Sony Computer Entertainment,Action
112,FIFA 12,2011,Electronic Arts,Sports
113,Big Brain Academy,2005,Nintendo,Misc
114,Red Dead Redemption,2010,Take-Two Interactive,Action
115,FIFA 15,2014,Electronic Arts,Sports
116,Donkey Kong Country Returns,2010,Nintendo,Platform
117,The Legend of Zelda,1986,Nintendo,Action
118,Assassin's Creed III,2012,Ubisoft,Action
119,Halo: Combat Evolved,2001,Microsoft Game Studios,Shooter
120,Pokemon Emerald Version,2004,Nintendo,Role-Playing
121,Kingdom Hearts,2002,Sony Computer Entertainment,Role-Playing
122,Pokemon Crystal Version,2000,Nintendo,Role-Playing
123,Halo 3: ODST,2009,Microsoft Game Studios,Shooter
124,Super Mario Sunshine,2002,Nintendo,Platform
125,Street Fighter II: The World Warrior,1992,Capcom,Fighting
126,World of Warcraft,2004,Activision,Role-Playing
127,Driver,1999,GT Interactive,Action
128,Kinect Sports,2010,Microsoft Game Studios,Sports
129,Gears of War 3,2011,Microsoft Game Studios,Shooter
130,Gears of War,2006,Microsoft Game Studios,Shooter
131,Metal Gear Solid 2: Sons of Liberty,2001,Konami Digital Entertainment,Action
132,Sonic the Hedgehog 2,1992,Sega,Platform
133,Metal Gear Solid 4: Guns of the Patriots,2008,Konami Digital Entertainment,Action
134,Metal Gear Solid,1998,Konami Digital Entertainment,Action
135,The Last of Us,2013,Sony Computer Entertainment Europe,Action
136,Final Fantasy XII,2006,Square Enix,Role-Playing
137,LittleBigPlanet,2008,Sony Computer Entertainment,Platform
138,Dragon Quest IX: Sentinels of the Starry Skies,2009,Nintendo,Role-Playing
139,LEGO Star Wars: The Complete Saga,2007,LucasArts,Action
140,Resident Evil 2,1998,Virgin Interactive,Action
141,Tekken 2,1996,Sony Computer Entertainment,Fighting
142,Cooking Mama,2006,505 Games,Simulation
143,Destiny,2014,Activision,Shooter
144,Tetris,1988,Nintendo,Puzzle
145,Assassin's Creed II,2009,Ubisoft,Action
146,Super Smash Bros.,1999,Nintendo,Fighting
147,Assassin's Creed,2007,Ubisoft,Adventure
148,Batman: Arkham City,2011,Warner Bros. Interactive Entertainment,Action
149,Forza Motorsport 3,2009,Microsoft Game Studios,Racing
150,Monster Hunter Freedom Unite,2008,Capcom,Role-Playing
151,Super Mario Advance,2001,Nintendo,Platform
152,Mario Kart: Super Circuit,2001,Nintendo,Racing
153,Super Mario World,2001,Nintendo,Platform
154,Pokemon Stadium,1999,Nintendo,Strategy
155,Crash Bandicoot: The Wrath of Cortex,2001,Universal Interactive,Platform
156,Minecraft,2014,Sony Computer Entertainment,Misc
157,Final Fantasy XIII,2009,Square Enix,Role-Playing
158,Dr. Mario,1989,Nintendo,Puzzle
159,Pokemon Pinball,1999,Nintendo,Misc
160,Final Fantasy IX,2000,SquareSoft,Role-Playing
161,Final Fantasy X-2,2003,Electronic Arts,Role-Playing
162,Donkey Kong 64,1999,Nintendo,Platform
163,Professor Layton and the Curious Village,2007,Nintendo,Puzzle
164,Tomb Raider II,1997,Eidos Interactive,Action
165,Madden NFL 2004,2004,Electronic Arts,Sports
166,Dragon Quest VIII: Journey of the Cursed King,2004,Square Enix,Role-Playing
167,Diablo III,2012,Activision,Role-Playing
168,Super Mario Bros. 3,2003,Nintendo,Platform
169,New Super Mario Bros. U,2012,Nintendo,Platform
170,Super Mario Land 3: Wario Land,1994,Nintendo,Platform
171,The Legend of Zelda: Phantom Hourglass,2007,Nintendo,Action
172,Donkey Kong Country 2: Diddy's Kong Quest,1995,Nintendo,Platform
173,Tomodachi Life,2013,Nintendo,Simulation
174,Mario & Sonic at the Olympic Games,2008,Sega,Sports
175,Medal of Honor: Rising Sun,2003,Electronic Arts,Shooter
176,Kirby's Dream Land,1992,Nintendo,Platform
177,Fable III,2010,Microsoft Game Studios,Role-Playing
178,Microsoft Flight Simulator,1996,Microsoft Game Studios,Simulation
179,Guitar Hero II,2006,RedOctane,Misc
180,Resident Evil 5,2009,Capcom,Action
181,Grand Theft Auto: Vice City Stories,2006,Take-Two Interactive,Action
182,FIFA Soccer 11,2010,Electronic Arts,Sports
183,Super Mario Bros.,1999,Nintendo,Platform
184,Resident Evil,1996,Virgin Interactive,Action
185,Tony Hawk's Pro Skater,1999,Activision,Sports
186,Warzone 2100,1999,Eidos Interactive,Strategy
