ageID,ratingOrgID,ratingID,ratingOrg,rating,ageAbove
3,1,11,ESRB,M,17
10,1,10,ESRB,T,13
23,1,8,ESRB,E,6
24,1,8,ESRB,E,6
25,1,8,ESRB,E,6
26,1,11,ESRB,M,17
27,1,11,ESRB,M,17
31,1,11,ESRB,M,17
32,1,11,ESRB,M,17
33,1,11,ESRB,M,17
37,1,11,ESRB,M,17
38,1,10,ESRB,T,13
42,1,11,ESRB,M,17
47,1,10,ESRB,T,13
55,1,8,ESRB,E,6
57,1,11,ESRB,M,17
59,1,11,ESRB,M,17
65,1,10,ESRB,T,13
67,1,8,ESRB,E,6
81,1,10,ESRB,T,13
89,1,10,ESRB,T,13
90,1,11,ESRB,M,17
91,1,11,ESRB,M,17
93,1,11,ESRB,M,17
94,1,11,ESRB,M,17
96,1,11,ESRB,M,17
103,1,11,ESRB,M,17
126,1,9,ESRB,E10,10
127,1,10,ESRB,T,13
129,1,8,ESRB,E,6
130,1,9,ESRB,E10,10
133,1,11,ESRB,M,17
135,1,11,ESRB,M,17
138,1,11,ESRB,M,17
145,1,10,ESRB,T,13
150,1,10,ESRB,T,13
155,1,10,ESRB,T,13
161,1,11,ESRB,M,17
189,1,8,ESRB,E,6
190,1,8,ESRB,E,6
191,1,10,ESRB,T,13
192,1,8,ESRB,E,6
193,1,8,ESRB,E,6
194,1,8,ESRB,E,6
195,1,8,ESRB,E,6
202,1,8,ESRB,E,6
209,1,11,ESRB,M,17
210,1,8,ESRB,E,6
211,1,9,ESRB,E10,10
213,1,10,ESRB,T,13
214,1,8,ESRB,E,6
215,1,8,ESRB,E,6
217,1,8,ESRB,E,6
218,1,10,ESRB,T,13
219,1,10,ESRB,T,13
229,1,10,ESRB,T,13
235,1,10,ESRB,T,13
245,1,8,ESRB,E,6
246,1,10,ESRB,T,13
255,1,8,ESRB,E,6
256,1,11,ESRB,M,17
257,1,10,ESRB,T,13
258,1,11,ESRB,M,17
263,1,11,ESRB,M,17
264,1,10,ESRB,T,13
266,1,10,ESRB,T,13
267,1,10,ESRB,T,13
270,1,11,ESRB,M,17
271,1,10,ESRB,T,13
273,1,8,ESRB,E,6
281,1,9,ESRB,E10,10
282,1,10,ESRB,T,13
283,1,10,ESRB,T,13
285,1,11,ESRB,M,17
288,1,11,ESRB,M,17
289,1,11,ESRB,M,17
292,1,9,ESRB,E10,10
302,1,10,ESRB,T,13
306,1,11,ESRB,M,17
310,1,10,ESRB,T,13
313,1,11,ESRB,M,17
314,1,10,ESRB,T,13
321,1,11,ESRB,M,17
322,1,10,ESRB,T,13
324,1,10,ESRB,T,13
326,1,11,ESRB,M,17
327,1,11,ESRB,M,17
328,1,8,ESRB,E,6
330,1,8,ESRB,E,6
334,1,8,ESRB,E,6
339,1,8,ESRB,E,6
340,1,8,ESRB,E,6
342,1,8,ESRB,E,6
344,1,11,ESRB,M,17
346,1,9,ESRB,E10,10
347,1,11,ESRB,M,17
348,1,11,ESRB,M,17
363,1,10,ESRB,T,13
371,1,8,ESRB,E,6
372,1,11,ESRB,M,17
384,1,8,ESRB,E,6
385,1,11,ESRB,M,17
390,1,11,ESRB,M,17
396,1,10,ESRB,T,13
398,1,10,ESRB,T,13
415,1,8,ESRB,E,6
416,1,9,ESRB,E10,10
419,1,11,ESRB,M,17
422,1,10,ESRB,T,13
427,1,8,ESRB,E,6
429,1,10,ESRB,T,13
439,1,8,ESRB,E,6
443,1,8,ESRB,E,6
451,1,8,ESRB,E,6
456,1,8,ESRB,E,6
460,1,11,ESRB,M,17
463,1,8,ESRB,E,6
464,1,10,ESRB,T,13
469,1,10,ESRB,T,13
471,1,8,ESRB,E,6
473,1,8,ESRB,E,6
