companyID,company
1,Electronic Arts
4,Eidos Interactive
5,Interplay Entertainment
8,2K Games
9,Lucasfilm Games
10,LucasArts
12,Black Isle Studios
17,Digital Extremes
23,Feral Interactive
24,Sierra Entertainment
26,Square Enix
29,Rockstar Games
32,Sierra On-Line
36,Frictional Games
37,Capcom
41,Riot Games
42,Tencent Holdings
45,"Sony Computer Entertainment, Inc. (SCEI)"
50,WB Games
51,Blizzard Entertainment
53,Microsoft Game Studios
54,TransGaming Technologies
56,Valve Corporation
58,Mojang Studios
61,Gameloft
66,Activision
67,Petroglyph Games
70,Nintendo
72,Vicarious Visions
73,Aspyr Media
80,Vivendi Games
81,Destination Software
82,Atari
91,Playmates Interactive Entertainment
92,NovaLogic
95,Disney Interactive
97,New World Computing
99,The 3DO Company
101,Freeverse Software
110,Focus Entertainment
112,Sega
113,Westwood Studios
115,Codemasters
116,Bohemia Interactive Studio
120,MacPlay
128,Microsoft
129,Konami
130,MacSoft Games
131,Robot Entertainment
132,Destineer
135,Sunflowers
139,Take-Two Interactive
141,Virgin Interactive Entertainment (Europe) Ltd.
145,cdv Software Entertainment
146,Strategy First
152,MicroProse
161,Konami Digital Entertainment
176,FX Interactive
179,Activision Blizzard
183,Hasbro Interactive
184,id Software
188,Apogee Software
189,BAM! Entertainment
190,Atari Corporation
191,Imagineer
195,Brøderbund Software
197,THQ
200,Electronic Arts Victor
204,Gathering of Developers
205,GT Interactive
213,Infogrames
215,WizardWorks Software
216,Glu Mobile
218,Vatical Entertainment
224,3D Realms
227,U.S. Gold
229,SEGA of America
230,MachineWorks Northwest
236,DreamCatcher Interactive
238,Typhoon Games
241,989 Studios
243,Sony Online Entertainment
244,Edusoft
245,ZeniMax Media
247,14 Degrees East
248,Bandai Namco Entertainment
250,Square
251,Sunsoft
252,Square Electronic Arts
256,NCsoft
263,Namco
267,TalonSoft
268,Global Star Software
269,Enlight Software Limited
270,JoWooD Productions Software
273,Sir-tech Software
287,Acclaim Entertainment
293,TT Games
294,Telltale Games
295,Origin Systems
303,Jaleco
310,Ultra Games
313,Success Corporation
315,Trion Worlds
316,Sierra
317,Dynamix
318,Rebellion Developments
327,Midway Games
331,Triumph Studios
334,Sony Computer Entertainment Europe
338,Encore
340,Empire Interactive
354,DSI Games
355,Zoo Digital
361,Hyperion Entertainment
363,GRAVITY
366,Epyx
368,Infocom
371,Dinamic Multimedia
372,GSC World Publishing
373,Ascaron Entertainment
374,Koch Media
380,Adventure Soft
383,RTL Enterprises
