gameID,title,genreID,keywordID,rating,hypes,releaseDate
92321,Balloon Pop 2,,,NA,NA,NA
123453,Style Book: Cinnamoroll,13,28712,NA,NA,2006-03-23T00:00:00Z
70575,Blazer Drive,12,78;923;4348;12225;17459;19521,NA,NA,2008-12-03T00:00:00Z
209984,PGA European Tour,,,NA,NA,NA
94147,Breach,12,92;953,50,3,2019-01-17T00:00:00Z
42700,DJ Max Technika Tune,7,,NA,NA,2013-01-07T00:00:00Z
117265,Shinigami to Shoujo,31;34,962;1313;1937;24910,NA,NA,2011-07-28T00:00:00Z
61521,Hanasaku Manimani,34,170;1937;24910,NA,NA,2013-11-21T00:00:00Z
72653,Mahou Sensei Negima!? Neo-Pactio Fight!!,4,78;107;226;4141;4142;4438;4891;5124;5584;6463,NA,NA,2007-06-12T00:00:00Z
176028,PGA European Tour,14,,NA,NA,2000-05-01T00:00:00Z
6489,Karnaaj Rally,10,25;28;3425;3627;4157;4205,NA,NA,2002-11-21T00:00:00Z
50604,Fit & Fun,,1293;1333;1495;2069;2361;4182;4630;4764;4815;4823;4973;5348;5673;9951;11025;11115;11957,NA,NA,2011-07-24T00:00:00Z
63487,Hirameki Action: Chibikko Wagyan no Daiki na Bouken,,,NA,NA,NA
43739,Crossroad Crisis,9,,NA,NA,2001-09-15T00:00:00Z
140996,Bookworm Deluxe,9,,NA,NA,2006-08-27T00:00:00Z
70660,Hoshizora no Comic Garden,34,962;1937;24359;24475,NA,NA,2008-09-09T00:00:00Z
122506,Plushees,33,153;969,NA,NA,2008-03-28T00:00:00Z
130397,Palais de Reine,15;31;34,94;1313;1937;2903;3908;24910,NA,NA,2006-06-10T00:00:00Z
51254,Driving Simulator 2011,13,,NA,NA,2011-05-08T00:00:00Z
12407,Breach,15;24,415;970;2210;3782,NA,NA,1987-12-31T00:00:00Z
135167,Breach,5,4136,NA,NA,2011-01-26T00:00:00Z
220171,Hospital Tycoon,,,NA,NA,NA
23671,Outdoors Unleashed: Africa 3D,5;13;31,453;1148;1299;2109;4134;4230;4359;4530;4692;4841;5354;5361;6844;7038;8214;10059,NA,NA,2012-08-30T00:00:00Z
141779,Breach,5,26088;26612,NA,NA,2015-01-14T00:00:00Z
62738,Slotter Mania P: Tetsuya Shinjuku vs Ueno,,,NA,NA,NA
1903,End of Nations,11;12;15;24,1;21;92;148;563;900;1107;1333;1471;1666;1821;4155;4259;4261;4886;4985;5325;5479;5885;6351;6868;7403;7503;9205;9951;11122;11782;12462,NA,NA,NA
52000,Space Raiders,33,24;588;706;3149;3945;3946,NA,NA,2017-07-24T00:00:00Z
49332,The Land Before Time: Into the Mysterious Beyond,,,NA,NA,2006-04-03T00:00:00Z
5196,Summer Athletics,14,350;622;662;701;827;1158;1166;1293;2324;4161;4170;4509;4711;5989;6490;6494;6519;11209;13076;13102,NA,NA,2008-07-29T00:00:00Z
4258,Psychic Detective,31,133;197;215;216;343;1027;1113;1120;1212;1313;1669;5751;7093;13465,NA,NA,1995-11-30T00:00:00Z
49359,Planet Monsters,9,2875,NA,NA,2002-01-06T00:00:00Z
105066,Dengeki Gakuen RPG: Cross of Venus Special,12,,NA,NA,2011-02-10T00:00:00Z
72556,Kanokon: Esuii,31;34,78;1027,NA,NA,2008-07-31T00:00:00Z
53454,Patrician IV: Gold Edition,13;15,,NA,1,NA
221225,Neo Angelique Special,34,962;1313;1937;4287;24236;32469,NA,NA,2008-09-20T00:00:00Z
10928,STORM: Frontline Nation,15,1;1143;2002;2335;3782;4239;4248;4259,NA,NA,2011-06-10T00:00:00Z
